province,date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_65_u,ci_65_l
Alberta,2020-03-11,2.512127234867095,0.15278438522033028,7.0,2.8115791272990363,2.212675342435154,2.654917885137261,2.369336584596929
Alberta,2020-03-12,2.513463738685905,0.13646480801481012,7.0,2.780929847552106,2.2459976298197044,2.641002286864945,2.3859251905068652
Alberta,2020-03-13,2.610283952983817,0.12722094312806947,7.0,2.859632419594052,2.3609354863735823,2.729183284031579,2.491384621936055
Alberta,2020-03-14,2.745538290705851,0.12217420046628186,7.0,2.9849953234597404,2.506081257951962,2.859720990107103,2.6313555913045996
Alberta,2020-03-15,2.8314056304424144,0.1194848024857724,7.0,3.0655915400144105,2.5972197208704184,2.9430748472916473,2.7197364135931816
Alberta,2020-03-16,2.7737418348400453,0.1180721046082934,7.0,3.005158907451146,2.5423247622289447,2.884090759381464,2.6633929102986267
Alberta,2020-03-17,2.6885622805668365,0.11733597465064627,7.0,2.918536564973008,2.458587996160665,2.798223225933,2.578901335200673
Alberta,2020-03-18,2.569395715237579,0.11695404712070358,7.0,2.7986214354403582,2.3401699950348,2.6786997152242917,2.4600917152508663
Alberta,2020-03-19,2.4875917051224725,0.1167563430387707,7.0,2.7164299324450667,2.2587534777998783,2.5967109329914093,2.3784724772535357
Alberta,2020-03-20,2.4233673992186473,0.11665412389831718,7.0,2.652005280707422,2.1947295177298725,2.5323910941735734,2.314343704263721
Alberta,2020-03-21,2.234841326641588,0.11660130617594898,7.0,2.4633756872967756,2.0063069659864,2.34381565871881,2.125866994564366
Alberta,2020-03-22,2.1111444576834537,0.11657402345667811,7.0,2.3396253451914704,1.882663570175437,2.2200932916234137,2.0021956237434937
Alberta,2020-03-23,2.043271686123232,0.11655993305667907,7.0,2.2717249569547224,1.8148184152917413,2.1522073513262456,1.9343360209202178
Alberta,2020-03-24,1.9934083023851383,0.11655265658391374,7.0,2.2218473115920743,1.7649692931782022,2.102337167074629,1.8844794376956475
Alberta,2020-03-25,1.9134630845725473,0.11654889910835022,7.0,2.141894729262706,1.6850314398823885,2.0223884375656147,1.8045377315794797
Alberta,2020-03-26,1.818046397296119,0.11654695889305619,7.0,2.046474239234179,1.5896185553580586,1.9269699369847504,1.7091228576074875
