province,date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_65_u,ci_65_l
Alberta,2020-03-10,1.859378466,0.240457352,7,2.330666216,1.388090716,2.084107332,1.6346496
Alberta,2020-03-11,1.863253881,0.235275932,7,2.324386234,1.402121528,2.083140247,1.643367514
Alberta,2020-03-12,1.864933717,0.230444935,7,2.316597489,1.413269945,2.080305085,1.649562349
Alberta,2020-03-13,1.866682663,0.22594532,7,2.309527352,1.423837974,2.077848739,1.655516587
Alberta,2020-03-14,1.867203641,0.221758637,7,2.301842584,1.432564699,2.074456889,1.659950394
Alberta,2020-03-15,1.864554121,0.217867048,7,2.291565688,1.437542554,2.06817033,1.660937911
Alberta,2020-03-16,1.856839255,0.214253327,7,2.276768059,1.436910451,2.05707812,1.656600391
Alberta,2020-03-17,1.846549854,0.210900878,7,2.25990798,1.433191728,2.043655557,1.649444152
Alberta,2020-03-18,1.833769114,0.207793741,7,2.241037363,1.426500864,2.027970919,1.639567308
Alberta,2020-03-19,1.820115523,0.204916597,7,2.221744674,1.418486373,2.01162838,1.628602666
Alberta,2020-03-20,1.805368134,0.202254775,7,2.20178021,1.408956058,1.994393281,1.616342987
Alberta,2020-03-21,1.786943383,0.199794258,7,2.178532933,1.395353832,1.973668957,1.600217808
Alberta,2020-03-22,1.768799976,0.197521681,7,2.155935358,1.381664595,1.953401624,1.584198328
Alberta,2020-03-23,1.750990248,0.195424331,7,2.134014898,1.367965597,1.933631735,1.568348761
Alberta,2020-03-24,1.732904032,0.193490142,7,2.112137741,1.353670322,1.913737846,1.552070217
Alberta,2020-03-25,1.713698701,0.191707687,7,2.089438863,1.337958538,1.892866652,1.534530749
Alberta,2020-03-26,1.693779647,0.190066171,7,2.066302496,1.321256798,1.871413455,1.516145839
Alberta,2020-03-27,1.673300907,0.188555411,7,2.042862722,1.303739091,1.849522775,1.497079038
Alberta,2020-03-28,1.653304431,0.187165829,7,2.020142716,1.286466146,1.828227611,1.478381251
Alberta,2020-03-29,1.632765974,0.185888429,7,1.9971006,1.268431349,1.806495309,1.45903664
Alberta,2020-03-30,1.613844482,0.184714777,7,1.975878793,1.251810171,1.786476935,1.441212029
Alberta,2020-03-31,1.596964692,0.183636986,7,1.95688657,1.237042813,1.768589852,1.425339531
Alberta,2020-04-01,1.580335119,0.182647686,7,1.938318004,1.222352233,1.75103569,1.409634547
Alberta,2020-04-02,1.561730864,0.181740007,7,1.917934732,1.205526996,1.731583128,1.3918786
Alberta,2020-04-03,1.542796267,0.180907552,7,1.897368554,1.18822398,1.711870528,1.373722006
Alberta,2020-04-04,1.523491202,0.180144376,7,1.876567692,1.170414713,1.691852207,1.355130197
Alberta,2020-04-05,1.504140498,0.179444958,7,1.855846153,1.152434842,1.671847834,1.336433161
Alberta,2020-04-06,1.485979676,0.17880418,7,1.83642943,1.135529923,1.653088148,1.318871204
Alberta,2020-04-07,1.468126771,0.178217302,7,1.817426265,1.118827277,1.634686753,1.301566789
Alberta,2020-04-08,1.45265507,0.177679941,7,1.800901355,1.104408785,1.61871284,1.2865973
Alberta,2020-04-09,1.438708867,0.177188044,7,1.785991052,1.091426681,1.604306916,1.273110818
Alberta,2020-04-10,1.426885109,0.176737874,7,1.773284976,1.080485242,1.592062433,1.261707785
Alberta,2020-04-11,1.416363585,0.176325979,7,1.761956155,1.070771016,1.581155958,1.251571213
Alberta,2020-04-12,1.406371524,0.175949184,7,1.751225587,1.061517461,1.570811747,1.241931301
Alberta,2020-04-13,1.396496921,0.17560456,7,1.740675533,1.052318309,1.560615062,1.23237878
Alberta,2020-04-14,1.38688587,0.175289414,7,1.730446809,1.043324931,1.550709479,1.22306226
Alberta,2020-04-15,1.375823085,0.175001272,7,1.718819276,1.032826894,1.5393774,1.21226877
Alberta,2020-04-16,1.364194497,0.174737857,7,1.706674403,1.021714591,1.527502627,1.200886367
Alberta,2020-04-17,1.351368549,0.174497079,7,1.69337654,1.009360559,1.51445165,1.188285448
Alberta,2020-04-18,1.336102798,0.17427702,7,1.677679481,0.994526115,1.498980235,1.173225361
Alberta,2020-04-19,1.320641023,0.17407592,7,1.661823556,0.97945849,1.483330513,1.157951533
Alberta,2020-04-20,1.303830075,0.173892163,7,1.644652453,0.963007698,1.466347829,1.141312322
Alberta,2020-04-21,1.288166676,0.173724271,7,1.628659991,0.947673362,1.450527519,1.125805833
Alberta,2020-04-22,1.272289951,0.173570886,7,1.612482637,0.932097265,1.434507443,1.110072459
Alberta,2020-04-23,1.2545731,0.173430767,7,1.594491158,0.914655043,1.416659638,1.092486562
Alberta,2020-04-24,1.235451664,0.173302775,7,1.575118862,0.895784466,1.397418582,1.073484746
Alberta,2020-04-25,1.21560123,0.173185869,7,1.555039296,0.876163165,1.377458889,1.053743572
