"","x"
"1",233
"2",586
"3",243
"4",523
"5",258
"6",272
"7",335
"8",334
"9",44
"10",200
"11",790
"12",372
"13",108
"14",131
"15",72
"16",391
"17",470
"18",785
"19",682
"20",484
"21",743
"22",628
"23",511
"24",157
"25",70
"26",488
"27",517
"28",214
"29",627
"30",535
"31",702
"32",752
"33",641
"34",426
"35",31
"36",612
"37",760
"38",81
"39",20
"40",289
"41",327
"42",86
"43",198
"44",192
"45",557
"46",529
"47",122
"48",302
"49",721
"50",251
"51",98
"52",63
"53",600
"54",151
"55",282
"56",777
"57",697
"58",159
"59",304
"60",565
"61",516
"62",463
"63",149
"64",479
"65",25
"66",654
"67",48
"68",665
"69",481
"70",218
"71",130
"72",356
"73",316
"74",259
"75",755
"76",524
"77",496
"78",90
"79",672
"80",749
"81",177
"82",609
"83",522
"84",480
"85",679
"86",114
"87",769
"88",115
"89",379
"90",424
"91",298
"92",492
"93",252
"94",155
"95",512
"96",754
"97",681
"98",592
"99",409
"100",239
"101",474
"102",163
"103",51
"104",540
"105",91
"106",744
"107",247
"108",280
"109",659
"110",277
"111",92
"112",171
"113",371
"114",292
"115",61
"116",56
"117",449
"118",328
"119",74
"120",146
"121",596
"122",671
"123",546
"124",432
"125",378
"126",582
"127",346
"128",680
"129",234
"130",475
"131",597
"132",36
"133",477
"134",118
"135",358
"136",279
"137",448
"138",745
"139",734
"140",42
"141",458
"142",227
"143",186
"144",32
"145",150
"146",649
"147",468
"148",250
"149",296
"150",418
