"Price","Size","Age","Beds","Garage","Lawn"
425767,3092,18,5,1,325
336991,1802,37,2,1,687
528842,2701,49,2,0,261
399797,2745,0,5,2,554
427580,2143,1,5,3,296
478082,2754,26,4,0,833
295549,2039,17,2,3,194
335058,1758,11,3,1,111
461110,3191,58,2,2,286
204405,1298,41,2,0,813
609878,3255,41,2,0,122
534170,3383,3,3,2,639
419461,2759,58,3,2,824
382463,2289,1,2,1,134
310660,2124,39,4,0,435
445339,3106,52,2,0,908
83827,1276,55,2,0,849
459278,3158,37,3,2,210
308239,1328,24,5,0,513
244552,1739,51,2,3,298
286738,1118,27,4,2,947
264733,1280,25,2,3,110
455328,2701,17,5,0,815
534467,3125,39,4,1,165
522514,2993,39,2,3,720
